Date,Open,High,Low,Close,Adj Close,Volume
8/14/1987,19.710768,20.238398,19.597704,19.82383,12.364531,2930600
8/17/1987,19.673079,19.861519,19.446951,19.560015,12.199988,993600
8/18/1987,19.333887,19.333887,18.919321,19.107761,11.917907,2014200
8/19/1987,18.994698,19.070072,18.542442,18.957008,11.823875,2579000
8/20/1987,19.258512,19.635391,19.183136,19.560015,12.199988,1955800
8/21/1987,19.597704,20.426836,19.522327,20.351461,12.69363,2004600
8/24/1987,20.351461,20.464525,20.087646,20.20071,12.599604,1257000
8/25/1987,20.426836,21.105219,20.426836,20.879091,13.022726,3416200
8/26/1987,20.879091,21.670538,20.803715,21.519785,13.422335,3681500
8/27/1987,21.105219,21.180595,20.577589,20.766027,12.952204,5409500
8/28/1987,20.652964,20.652964,19.861519,19.899206,12.411545,2573000
8/31/1987,19.974583,20.238398,19.673079,19.861519,12.388042,2225800
9/1/1987,19.974583,20.163021,19.409264,19.48464,12.15297,1966800
9/2/1987,19.2962,19.560015,19.145449,19.371576,12.082453,2807200
9/3/1987,19.635391,19.710768,19.220823,19.446951,12.129462,2454600
9/4/1987,19.560015,19.861519,19.409264,19.48464,12.15297,1070300
9/8/1987,19.446951,19.560015,18.957008,19.107761,11.917907,1751500
9/9/1987,19.333887,19.48464,19.183136,19.371576,12.082453,1567400
9/10/1987,19.786142,20.087646,19.635391,19.936893,12.435055,2287500
9/11/1987,20.163021,20.502213,20.125334,20.351461,12.69363,1825800
9/14/1987,20.049957,20.464525,19.861519,20.049957,12.604423,1405900
9/15/1987,19.899206,19.899206,19.48464,19.560015,12.296414,1204900
9/16/1987,19.522327,19.974583,19.409264,19.597704,12.320109,1258300
9/17/1987,19.748455,19.82383,19.48464,19.82383,12.462262,1031100
9/18/1987,19.899206,20.125334,19.899206,20.049957,12.604423,1384000
9/21/1987,20.125334,20.351461,19.974583,20.049957,12.604423,1773400
9/22/1987,20.049957,20.916779,19.899206,20.916779,13.149344,1778400
9/23/1987,20.954468,21.293657,20.615276,21.293657,13.386265,2926300
9/24/1987,20.72834,21.25597,20.72834,20.992155,13.196727,1491500
9/25/1987,20.992155,21.067532,20.766027,20.954468,13.173046,1368400
9/28/1987,21.406721,21.595161,21.25597,21.557474,13.552122,3814100
9/29/1987,21.632849,21.821289,21.25597,21.331347,13.40997,2270500
9/30/1987,21.293657,21.293657,20.879091,21.067532,13.244117,1910400
10/1/1987,21.067532,22.16048,21.029842,22.085104,13.883821,3119300
10/2/1987,22.085104,22.311232,21.858976,22.009727,13.836435,1951500
10/5/1987,22.122791,22.235855,21.858976,21.934353,13.789044,2223500
10/6/1987,21.7836,21.896664,21.180595,21.293657,13.386265,2458000
10/7/1987,21.142906,21.369034,20.879091,21.180595,13.315192,2769700
10/8/1987,21.105219,21.218283,20.125334,20.313772,12.770267,2150200
10/9/1987,20.351461,20.577589,19.974583,20.163021,12.675493,2200600
10/12/1987,20.125334,20.163021,19.597704,19.748455,12.414881,1706400
10/13/1987,20.125334,20.389149,19.82383,20.276085,12.74658,1653300
10/14/1987,20.20071,20.426836,19.710768,19.861519,12.485959,1796600
10/15/1987,19.145449,19.560015,18.881634,19.2962,12.130573,4409200
10/16/1987,19.2962,19.2962,18.165564,19.2962,12.130573,3725900
10/19/1987,15.979666,17.939436,15.678163,15.866602,9.974551,6245600
